role,time_min,kills,deaths,assists,creeps,rank
3,39.33095033104165,6,0,8,328,S
4,28.24559455663331,1,8,22,6,D
1,31.690862265189164,10,1,12,132,A
1,26.78610534619135,5,5,6,160,B
3,39.95498778020401,6,7,2,329,B
1,27.745488228496825,6,7,9,164,B
1,21.22892580261575,8,0,13,131,S
3,22.70710869946568,3,8,3,191,B
3,32.036134678908944,4,5,4,256,B
0,22.536480451008376,7,1,5,207,S
4,24.176618709891798,1,3,10,2,D
4,27.27290717838899,0,2,17,18,C
1,36.06023763052641,3,3,14,217,B
4,31.855418817403695,0,1,25,35,A
1,37.39875665795378,5,4,4,208,B
0,26.382469796409254,9,8,5,200,B
3,26.300207447534632,4,3,3,208,A
3,23.90394329143765,3,6,3,180,B
3,34.441321284075705,10,7,7,289,A
4,28.453120675779168,1,4,19,27,C
0,36.19350072531779,8,6,2,348,A
4,20.25814455961984,0,0,20,5,S
4,28.7971127942767,3,6,21,3,C
0,31.98922279317433,13,1,5,296,S
0,38.11077675857803,14,3,4,334,A
0,27.062057778767787,10,5,3,256,A
0,32.62917585166041,11,6,2,229,B
3,24.947994941166915,9,2,8,210,A
2,20.420422134524344,8,4,8,191,A
2,25.667281377822363,13,6,3,185,B
0,28.83667409603909,5,2,3,219,A
2,27.734141140879558,8,5,6,273,A
2,37.671294567403805,10,6,3,280,B
0,30.11393487562748,7,2,6,260,A
2,30.40898808330572,5,8,5,236,B
4,22.270812846525732,2,6,15,36,D
1,38.055275759290176,2,4,4,189,C
1,31.78429228695711,9,7,4,134,C
0,23.397741464381145,3,8,5,188,B
3,39.790106667686445,7,8,3,389,A
0,21.82281278889355,14,1,4,153,S
3,33.40868667593835,5,7,4,310,A
1,28.273573579705207,5,3,4,114,C
0,39.77079974091413,5,7,7,365,A
4,26.30727486532235,1,4,29,9,B
2,35.950280905929716,4,6,6,302,A
3,38.44868567312249,4,8,8,359,A
2,39.85029240323942,7,5,6,305,B
2,27.986651603984452,5,6,7,211,B
0,35.98315942209564,4,6,5,297,B
2,31.5671952623308,5,3,6,238,A
4,39.14393927038469,2,1,12,35,B
2,33.515225857904476,9,5,7,248,B
0,33.50912090672851,14,7,5,307,A
4,31.435786318719607,1,7,18,13,D
1,27.108786747281236,8,2,14,142,A
2,27.156224986711862,13,1,8,209,S
0,33.11806626196799,9,6,4,288,A
1,24.202143858247034,4,6,11,115,C
1,29.460550066860414,5,2,9,147,B
3,34.8947345565842,11,4,3,297,A
4,22.610091192748797,0,6,29,11,C
2,28.381989458341707,3,8,3,223,B
0,20.12928715579421,8,8,6,185,A
3,20.47892530540967,4,7,4,154,B
4,29.432989815011908,3,2,27,42,A
3,27.23294189682089,10,2,7,243,S
4,25.510731342817024,0,1,25,30,A
4,36.203221799194054,2,8,25,21,D
2,25.114874030966007,12,2,2,196,A
4,23.972891537948115,2,1,11,20,C
3,31.880989311336222,7,5,9,302,A
4,23.54653106447879,2,9,19,24,D
2,24.27989357396627,14,7,5,196,A
2,32.09678858725162,6,7,2,254,B
3,25.87069584917321,3,2,2,249,A
1,29.170371243740306,5,6,5,194,B
1,36.32158084686702,5,1,13,167,B
4,22.658560854159653,2,8,20,9,D
0,22.762505862804943,6,7,6,205,A
4,24.781327681500592,3,8,29,25,C
3,33.60958925048748,14,6,8,333,A
3,32.91205154116823,9,2,6,306,S
3,33.83311303733083,4,3,5,242,B
3,23.6491608130498,11,6,5,180,B
3,30.089118833387108,12,2,3,229,A
2,26.265329531612206,7,2,7,215,A
1,25.383231419832583,9,0,7,162,S
3,26.474616512208474,5,6,7,199,B
0,39.12583763026723,9,2,2,281,A
0,29.723473082097662,10,2,9,215,A
0,31.99935716522132,5,0,8,312,S
0,37.42630494493707,12,1,5,278,S
2,33.80645693801458,9,5,6,269,A
0,21.075446233239667,10,2,7,167,A
3,36.047920611072655,8,2,3,261,A
4,33.65305210088398,2,7,28,63,C
0,26.258390960576452,13,6,2,261,A
2,31.9567997369137,10,7,7,247,B
2,37.46086294030407,8,7,8,342,A
0,29.509514304654672,8,6,5,223,B
4,36.411042785114375,1,4,10,13,D
0,34.40767997172891,11,0,4,322,S
2,39.62483194910924,5,3,8,289,A
1,36.777077238081375,2,3,11,162,C
3,32.240170599189106,8,1,8,232,A
2,26.995921236151837,4,3,8,210,A
0,24.97583577478354,11,1,9,248,S
3,31.652572920807312,6,0,6,314,S
0,27.382723876184087,14,8,6,234,A
0,28.813297668485873,9,8,7,207,B
1,27.935101129110585,3,0,8,167,A
3,31.90732740313745,6,4,6,298,A
3,23.91425280199298,4,0,4,200,S
1,25.132944143721915,3,3,8,150,B
2,34.92725768626483,3,6,2,290,B
0,38.41382801557239,5,8,6,292,B
4,28.373902866553685,0,1,18,31,B
0,30.25958699641815,8,5,3,227,B
0,22.40727152419972,3,1,8,219,S
2,28.61071641826074,10,3,5,221,A
0,21.460071857992546,13,0,5,165,S
1,34.98758033448312,7,5,5,145,C
1,23.797506581918398,9,0,11,152,S
3,26.82488899515441,7,6,6,228,A
4,37.22891372042648,2,5,28,2,C
0,30.699333468188883,6,2,8,259,A
0,39.73791890776595,10,5,7,371,A
2,37.73005053283805,3,3,3,275,B
1,34.12743993619992,10,2,13,160,B
4,36.37738541040943,3,3,15,72,C
3,39.02793723958212,3,7,9,281,B
1,23.742485408210033,10,6,6,120,B
3,28.772950004921096,13,3,7,243,A
2,26.603119006312088,4,0,8,213,S
2,34.17798225546632,12,0,7,272,S
0,23.285736865448186,10,5,4,207,A
4,22.47692053411635,3,1,12,34,B
3,20.85479212123903,7,5,6,156,B
1,29.530529416644747,6,4,14,193,B
2,20.26457625810588,14,0,5,198,S
0,38.18404272412974,11,6,8,290,A
0,25.683685914234573,4,3,7,221,A
3,23.19759526732883,5,1,3,175,A
2,28.94402064432876,14,5,7,266,A
4,32.91068712821044,1,4,15,52,D
2,24.41017574273296,3,6,8,190,B
3,39.11298934532979,14,0,8,355,S
3,37.058527677091625,13,8,6,275,B
2,35.270316873364244,3,6,7,287,B
3,35.504690777981125,12,2,8,315,S
2,32.665264032188205,3,8,2,318,A
1,37.749378804257645,3,2,10,243,B
2,31.237275796190367,6,5,8,276,A
2,36.496138959596614,6,4,7,281,A
3,28.51995038936856,5,2,9,279,S
3,31.730235620748974,13,0,9,266,S
0,36.01877443082861,4,3,3,347,A
0,26.85859325518392,9,5,9,243,A
1,26.32202623093941,11,0,8,133,S
0,21.741424111546163,11,7,9,165,B
2,30.87946222569935,10,4,2,216,B
3,29.67720437728623,10,8,5,290,A
0,23.23389106547974,10,4,6,193,A
0,25.647358380853124,12,0,3,235,S
1,26.02926118917601,3,0,12,173,S
1,22.298126867238206,5,1,14,138,A
2,31.9485848514684,13,8,6,248,B
3,29.3007266844182,7,6,4,212,B
1,29.747688833440858,11,1,4,158,A
0,29.780968008985663,4,0,3,257,S
3,25.984640086021212,14,0,9,208,S
3,28.6738866264076,9,2,9,269,S
0,38.81984645148874,9,3,9,276,A
1,34.89650151059826,2,0,12,181,A
0,33.47512459568179,12,7,6,280,A
3,32.3840863458431,6,6,2,247,B
4,22.25686374367243,1,6,10,33,D
4,29.652024713230414,2,2,29,31,A
2,27.915553593208614,4,0,5,275,S
0,30.71269001175149,10,1,5,226,S
0,24.119600717539235,6,7,3,170,B
2,27.15922389065529,9,0,7,201,S
2,34.763365410736874,6,2,8,319,S
2,35.39493245714174,6,2,3,347,S
3,30.31353102154146,6,5,3,242,B
0,36.31490761252242,7,2,9,305,A
3,37.090947864043606,8,3,4,354,A
2,21.685287323117024,9,4,4,169,A
0,36.55350389562544,7,6,6,314,A
3,32.70646693416642,8,0,3,233,S
3,26.441350703914594,13,5,9,258,S
2,34.7748701923186,9,6,7,316,A
0,23.857411373792285,9,1,2,225,S
2,22.02759684939727,5,2,2,191,A
0,32.01166393974272,4,4,7,310,A
4,31.653722931091657,2,1,21,48,A
1,31.83433937784801,9,4,6,173,B
1,20.495297551523024,10,1,11,99,A
1,22.727406549351315,5,1,8,145,A
2,23.715539093974158,12,5,3,185,A
4,31.163423677808815,1,6,29,57,C
0,30.04743639944191,3,5,7,213,B
3,29.495380120873023,14,6,7,207,B
0,31.05629751436698,4,5,9,247,A
3,33.455119724938484,7,7,7,295,A
0,24.732195654150146,10,0,4,231,S
4,35.00306458863025,3,9,19,35,D
3,35.37494262725026,12,8,4,331,A
2,28.046140827647438,10,6,6,256,A
0,30.95035768119989,3,4,3,241,B
0,28.434252350518328,4,3,4,272,A
3,26.923937733606554,4,7,9,197,B
2,27.335966412925366,12,6,5,272,A
2,37.37114056498922,12,3,2,328,A
4,34.0173139448776,3,9,28,46,C
2,25.80088056355973,12,6,4,202,A
2,26.360792233890397,10,1,6,193,S
2,23.438251154542087,7,5,6,186,A
1,24.40638197243935,9,2,13,135,A
4,21.99159427080058,2,1,22,37,A
0,33.89836759563015,7,6,3,323,A
3,26.917177159505385,9,7,7,250,A
0,28.128330731480375,7,4,4,272,A
4,32.47010622494675,0,1,24,13,A
3,38.17652995433725,10,2,8,338,S
4,23.097151481576425,1,0,13,10,A
2,32.3324395633055,7,6,6,270,A
3,25.05060779272889,3,6,9,190,B
2,39.04191303305848,6,7,9,367,A
0,26.358093475465672,14,4,9,254,S
0,21.734131351912804,14,4,7,193,A
3,32.42372644388166,5,4,3,317,A
3,35.028466350626054,12,5,5,311,A
4,24.30311243248111,0,7,14,45,D
4,24.09604818112419,0,5,24,3,C
2,27.74446282420414,5,5,5,270,A
3,20.939850020062348,6,8,8,170,B
0,36.036803369056116,5,8,6,344,A
4,34.81738536770436,1,8,11,52,D
4,27.875102831308133,0,1,24,16,A
0,38.48619134105116,6,4,3,324,A
4,23.36040104385357,1,0,25,44,S
2,37.311424401895295,12,5,8,263,B
3,26.778895506968972,9,5,5,243,A
0,28.21463086982024,9,6,3,276,A
3,22.621172616085808,10,2,4,192,A
4,38.19860316319437,3,9,25,40,D
4,34.347255060727335,2,3,25,32,B
0,27.721018713036717,6,2,7,251,A
2,37.27282104834312,4,6,5,268,B
1,30.99434510326622,9,3,13,200,A
0,31.153773823709052,9,4,6,245,A
1,29.38813683978516,4,5,5,133,C
1,30.263797834196595,5,3,6,163,B
2,24.5496320738708,14,4,5,199,A
1,36.410892954919746,8,1,13,181,A
1,21.04963420199455,11,1,13,129,S
2,39.67423166418304,5,4,9,292,B
1,39.22829080847278,6,5,8,166,C
1,20.94116758920038,11,0,7,121,S
1,28.567036011376924,4,3,5,115,C
0,35.23779788754968,3,0,5,297,S
0,27.784172372468774,8,8,2,259,A
0,29.74812606201615,14,7,7,253,A
2,29.056496105686534,8,8,5,226,B
4,29.44496997890317,2,5,28,23,C
1,39.97585871631309,4,1,8,206,B
1,28.951037102121237,10,6,9,121,C
2,21.48669217772143,14,1,6,180,S
1,34.25764738689473,7,2,8,195,B
0,38.19190782221889,3,1,4,376,S
4,21.826514686671143,2,9,19,41,D
3,35.76401859733412,13,1,8,324,S
1,34.973969568783104,6,6,5,170,C
0,30.764402037369507,3,6,5,224,B
3,21.114136722304902,11,4,7,179,A
4,32.064908453680594,0,3,28,6,B
3,25.9084407262753,12,8,4,228,A
0,27.419474251843383,10,2,8,223,A
3,26.939179007551715,14,8,8,191,B
2,26.716869740786322,5,5,4,214,B
3,36.19957487366945,3,4,2,334,A
1,24.71993211818475,8,3,9,131,B
1,39.33937029236631,3,2,10,260,B
2,24.882951210138145,10,5,8,227,A
0,27.44087135624415,4,5,4,224,B
1,37.34120364757895,9,6,6,256,B
4,24.952632861428775,3,3,16,48,C
1,28.86878205672088,3,2,9,138,B
1,22.390617390941557,7,6,7,144,B
0,22.779379837732492,9,8,8,193,A
3,26.414671646231426,4,5,5,262,A
1,28.22226833989697,11,6,13,179,B
2,28.102161091757132,11,2,5,228,A
3,29.92085452033166,4,5,3,262,A
4,34.791623544434856,1,1,21,47,A
0,36.29587335047317,7,1,9,277,S
4,22.67556289987936,1,2,12,3,C
3,29.67099701580738,3,6,6,256,A
3,22.51286984824628,9,7,2,175,B
3,35.20656442808276,12,8,4,300,A
4,22.786389647560927,1,3,12,36,D
3,24.833178416383703,10,5,4,193,A
4,30.118516002927876,3,3,23,50,B
3,27.193511224461353,3,3,9,209,A
2,32.7126399728008,4,8,6,269,B
3,26.587585386041514,13,5,8,197,A
4,37.24422846643876,3,9,21,54,D
1,33.85840458449577,8,4,12,146,B
3,31.379663886082454,10,0,2,290,S
1,31.36537232537537,4,2,11,156,B
2,31.586268055769217,9,4,9,272,A
0,34.28919367771563,5,7,8,263,B
2,29.840034588641657,4,5,2,220,B
3,33.049519110144644,4,1,9,277,A
1,22.665685161643463,2,4,14,101,C
1,26.08247698936072,7,5,5,174,B
4,32.568139152819796,2,0,17,37,S
1,32.92814750456178,7,1,8,135,B
4,32.77926043946569,0,4,28,19,C
0,30.908559004234263,12,1,8,231,S
3,22.086261747037643,5,1,5,189,A
4,33.33870835114434,3,4,16,55,C
0,32.52109417961603,13,6,3,315,A
1,22.67068466321499,6,6,5,156,B
1,29.078522728435917,4,0,9,172,S
0,26.81923947285977,6,2,9,210,A
1,38.61344511124797,2,5,13,163,C
0,24.46019647067466,9,5,7,172,B
4,21.835552129423515,2,1,10,22,C
4,30.78382159027266,3,6,10,56,D
0,28.782613216097012,5,2,3,272,A
4,34.02998202930332,3,9,14,58,D
4,29.272441486868995,1,9,27,18,D
4,30.506365289014425,0,5,25,21,C
2,29.557347098262717,12,4,6,268,A
3,26.138621459624652,12,7,6,192,B
1,33.11019943692225,2,7,8,146,C
2,34.314718528215906,10,6,4,248,B
4,33.41530050886071,1,9,15,56,D
0,37.54240935324576,10,0,6,338,S
4,26.67804943053108,3,2,29,27,A
3,32.11507461041869,4,8,6,277,B
4,21.827064854471118,1,9,25,37,D
0,23.788868663348055,7,5,8,208,A
3,36.80696355177017,8,5,8,348,A
4,26.53477781137267,0,8,22,1,D
3,34.70457036203192,13,7,8,314,A
1,37.86227482644945,11,3,12,165,B
1,22.59714026835762,10,0,8,132,S
4,21.54823103969501,1,3,12,25,D
3,26.446496489388498,7,1,3,240,S
0,36.68916505712193,14,5,6,311,A
4,39.00614027472362,3,0,10,24,A
1,39.15942132964908,5,4,12,176,C
1,34.244404103543175,9,5,13,186,B
4,20.292942545449733,1,2,13,37,C
3,22.932291143196846,3,2,7,222,A
1,31.478582722459645,3,2,4,197,B
3,26.18925152892365,13,4,4,196,A
1,20.046468122638604,3,6,12,101,C
1,31.291881625806433,8,2,10,207,A
2,23.933344647806145,4,8,8,179,B
1,39.3665392019851,3,4,7,179,C
0,30.417715654013584,14,7,4,240,A
4,21.8603481852535,0,6,25,18,C
4,35.911567525151725,3,2,20,52,B
3,36.800376638413965,6,3,5,359,A
1,36.429425055523815,3,7,12,185,C
0,24.58787004308764,6,6,8,191,B
3,20.780128415256364,7,0,9,177,S
2,22.811838363467313,3,4,3,207,A
3,33.48587147400049,13,0,4,257,S
3,22.636136597933586,5,3,3,165,B
1,35.61398608343257,6,1,7,209,A
2,28.602854641936524,9,2,6,265,S
3,38.723531283330104,12,0,6,372,S
0,34.748628828542444,3,3,5,334,A
0,25.428617285521064,4,8,8,202,B
4,35.827258382457714,2,3,27,32,B
2,21.911182079166704,9,2,4,210,S
2,23.47921775392451,8,1,3,183,A
4,36.39354005560918,0,8,15,5,D
3,28.274120638200607,3,3,6,205,B
2,35.40042456911657,7,5,6,351,A
0,39.28706468071973,3,2,7,300,A
0,35.63457978009519,12,8,6,258,B
1,26.844510495578092,4,5,7,140,C
2,23.3307702699454,14,2,8,167,A
3,20.370624671886667,8,8,5,149,B
4,31.615371672288433,1,1,22,53,A
4,28.917732397196154,3,9,20,20,D
3,35.05694950182768,9,5,7,301,A
1,39.92448986089278,11,0,11,211,S
4,35.92781445239417,1,0,19,58,S
2,34.29905647103554,13,6,3,283,A
1,22.88624087374963,9,3,9,110,B
2,28.9935395436744,13,7,3,217,B
0,39.19491442923939,6,7,2,352,A
1,26.86755579149145,9,2,10,183,A
4,32.64240243831303,2,2,27,0,A
1,28.453732393148513,10,0,6,188,S
1,25.383794789466105,8,6,13,115,C
1,27.034402226913045,11,3,8,175,A
1,28.312555640583103,7,6,4,159,B
2,21.058148665413288,4,1,6,187,A
0,27.174850210857773,9,0,3,226,S
3,22.61345260826525,4,0,7,212,S
1,29.022601395956826,9,1,14,178,S
4,32.374939649152125,0,6,15,53,D
1,29.26398872617841,11,6,6,172,B
4,37.973354031053276,3,6,17,7,D
2,32.45908088366764,11,4,8,248,A
4,23.2913211685867,1,8,22,43,D
3,38.652044150072875,5,5,4,280,B
0,39.69151792752226,8,6,9,352,A
4,34.297968761545775,1,6,18,11,D
4,32.96060636110428,2,8,13,51,D
0,33.468394578228654,4,8,3,236,B
3,28.13796862781256,10,2,7,258,S
1,33.69450327762009,4,7,9,138,C
4,24.135953520882882,0,9,26,46,D
0,26.83140774063136,4,7,8,268,A
2,37.162778500533086,10,2,3,348,S
0,32.32581496708289,3,4,4,287,A
2,37.98047965298968,8,6,6,358,A
3,28.00713253679661,12,5,8,260,A
1,29.67754529128518,2,6,14,126,C
0,38.72986662620451,14,6,5,296,A
4,30.840541393327594,2,4,18,58,C
3,23.657861061373374,13,0,3,203,S
0,31.515849422446195,7,2,5,271,A
4,30.05260231242507,0,1,17,34,B
0,38.645337678419445,9,4,6,310,A
2,39.06632744401921,7,3,8,369,A
0,33.34663699335387,11,1,2,309,S
0,29.705812681234306,11,2,2,255,A
0,37.198814283668185,5,8,2,367,A
3,30.367309266706414,7,1,7,236,S
0,20.626853377177333,8,2,5,204,S
4,30.037390620490072,3,7,10,7,D
2,30.938310275862484,14,1,5,255,S
2,37.06569597134404,9,8,7,361,A
0,35.29136527518861,14,8,9,323,A
3,22.023312392262063,14,1,8,169,S
3,32.78403658779919,8,8,3,315,A
4,22.5360359825352,2,3,14,5,C
0,28.55083710719424,12,1,6,264,S
2,22.11593040545598,3,0,2,167,A
3,29.490887003171125,13,0,3,253,S
0,27.88380989199816,5,4,8,223,A
3,36.109325660811734,3,6,9,296,B
3,26.6659971974105,8,0,4,205,S
2,35.879101694311814,7,1,5,311,S
1,39.566616153544956,9,4,14,194,B
4,23.377185787340707,0,0,25,32,S
4,37.54619472386071,3,7,21,22,D
2,33.44723715864389,13,3,9,260,A
3,24.8693408813352,10,3,2,189,A
0,34.18592254281536,8,2,5,318,S
3,26.774659115488628,3,4,7,261,A
2,31.66852430288182,12,8,7,286,A
4,23.67128228433866,2,9,19,12,D
3,30.384139492069203,6,7,6,265,A
4,34.69518577698757,2,3,27,8,B
0,38.293891206741144,11,2,9,272,A
4,34.57274044633798,1,2,12,26,C
4,36.743239283900515,0,6,13,53,D
1,22.303115748057408,6,4,5,102,C
1,26.269547196929008,5,6,7,137,C
1,38.66385834098037,8,2,13,216,A
4,29.426435882101366,1,7,20,46,D
2,23.3623619519545,4,5,3,207,A
4,38.923737879825225,2,2,16,4,C
2,23.74693582653578,9,8,6,219,A
2,39.912381192454134,8,4,5,389,A
1,20.317036844637528,8,4,8,96,B
3,29.779018528769043,11,8,4,259,A
0,32.990859172073215,4,0,9,292,S
1,21.09018554827439,3,5,9,84,C
1,37.64818372887577,3,1,10,207,B
3,29.98217316215213,14,0,9,280,S
0,25.94428227690192,8,1,9,235,S
4,32.85613182172347,1,7,24,0,D
4,32.77345272240811,3,0,27,55,S
1,24.18612151668417,9,3,10,125,B
0,38.400801050918076,8,2,5,378,S
1,25.171145272804917,3,5,5,160,B
2,33.635709955769094,8,4,9,260,A
1,38.63318499518038,2,0,5,172,B
1,27.331023747584524,11,0,8,174,S
4,34.14456656670846,3,6,16,7,D
4,32.56413194186088,1,5,13,4,D
4,27.098624019360322,0,6,15,49,D
2,31.081985607916522,12,3,4,277,A
4,33.014487686676006,2,6,16,43,D
0,24.310257150955376,4,2,3,206,A
3,28.30311352114621,11,8,5,205,B
0,31.136773893804822,9,6,8,249,A
0,20.36162184411371,6,2,4,180,A
4,33.2698069025742,2,0,25,8,S
3,37.03074343795851,5,4,2,310,A
3,38.060557469856235,14,5,7,277,A
3,26.061315223502035,13,1,2,234,S
2,29.055086754174802,12,1,5,260,S
4,25.11332446663629,3,0,24,42,S
3,30.824075315425965,5,0,4,251,S
2,28.888819153429974,7,0,7,248,S
1,21.702872731121644,10,7,10,112,B
1,39.03404812781074,6,5,7,237,B
2,25.87588941308655,9,7,3,205,B
2,35.65847228515145,10,6,4,317,A
4,23.2723297748511,3,5,14,17,D
4,27.3468103055456,3,0,10,28,A
1,33.41454650885201,10,0,4,206,S
3,31.543733524466177,7,4,3,285,A
1,34.15506415210796,2,3,12,180,B
3,28.84670916100431,11,0,2,237,S
3,29.333663116617284,11,0,2,291,S
4,27.72736274273614,3,6,23,41,C
0,23.36473158216984,10,5,5,226,A
0,33.29635981432542,5,3,8,296,A
2,36.11527836586663,6,6,7,297,A
4,33.95728790704288,1,6,21,0,D
3,22.97617429036352,9,7,2,192,A
0,38.900341884969876,9,6,5,371,A
3,38.12038142088726,4,1,5,358,S
0,32.64244856898046,10,0,5,318,S
0,32.30902840768812,9,7,9,314,A
0,24.186967987681975,9,4,6,229,A
4,39.357291319027105,2,5,14,13,D
1,33.80342141208664,4,2,10,209,B
3,30.167109751291846,9,4,8,262,A
4,21.762844867815843,0,3,10,30,D
4,39.81285474344358,3,7,19,35,D
4,30.975597185260234,1,1,29,59,S
4,33.206716610282555,3,7,17,20,D
4,30.241771533973278,0,3,21,12,C
2,23.790380864747537,11,6,3,229,A
3,35.4985694461191,9,1,8,302,S
4,39.76741133443142,2,3,12,26,D
3,31.734962379346857,11,4,3,259,A
2,35.688113312168,12,3,7,328,S
2,25.04287911677887,11,4,5,221,A
3,33.31715532432554,9,8,3,245,B
0,30.59067230044915,8,7,4,274,A
1,23.964125304710393,6,1,5,165,A
0,29.684262786952832,13,5,5,282,A
0,39.9369856856288,3,5,7,339,A
0,32.01213258374365,8,8,6,263,B
4,20.821647299111106,1,0,21,28,S
2,37.66386105847217,13,2,5,343,S
0,37.03938507111684,13,0,5,339,S
2,24.393642667516527,13,5,7,241,S
3,34.27915895729543,4,3,6,303,A
1,30.801586438443916,6,7,6,181,B
3,27.19578826763859,5,5,9,230,A
3,39.010071231782696,13,6,9,356,A
4,32.07585514572236,1,6,23,15,C
1,27.77349501341901,6,4,7,142,B
3,20.516779444400225,12,0,6,155,S
3,21.60126805057931,12,7,4,153,B
1,33.16799190754084,5,3,12,160,B
1,26.97740833210581,6,6,11,171,B
3,36.91021621681121,9,1,8,366,S
1,23.11385195511866,8,3,14,125,B
3,39.195675728754296,9,4,2,360,A
3,34.70927057195367,9,5,9,330,A
4,31.092409824222898,1,7,15,0,D
0,21.508243519855764,9,2,7,182,A
3,21.22687748967736,4,2,5,160,A
2,36.09933667763371,7,6,2,262,B
0,31.18273312925937,5,5,3,287,A
0,35.00543658943543,3,4,5,275,B
0,25.174101406485732,11,0,8,176,S
4,25.66438167619335,1,4,26,16,C
3,23.6762577896363,9,5,6,179,A
4,36.37493620768383,0,5,14,24,D
3,34.95025941164954,9,3,2,252,A
4,37.62516135526023,0,7,29,28,C
4,38.51166018380543,2,8,28,72,C
2,34.79126496222536,14,1,7,286,S
4,29.41401998982123,0,4,22,46,C
1,29.079176660957195,9,2,6,190,A
2,34.97998034809914,14,0,9,300,S
4,31.92787199384923,3,8,11,7,D
0,22.58130249658126,8,3,9,211,A
1,23.907179216972168,11,0,8,98,S
1,22.036945302847656,7,0,11,127,S
1,28.454051390543455,9,2,11,123,B
2,28.127328105549232,8,2,3,261,S
4,39.4537748652217,1,5,20,27,C
4,34.86588950448153,2,3,29,38,B
0,38.59583445261006,11,7,9,323,A
0,32.19378122499136,11,1,7,247,S
1,32.03962705948905,7,2,11,153,B
0,28.211973944765333,6,5,8,272,A
2,28.618826730366536,4,1,5,235,A
4,28.578379189874205,3,1,20,14,A
1,26.411351720329982,11,4,14,149,B
0,27.180015361585276,5,1,6,251,S
2,37.87019942786635,10,3,8,371,S
2,27.89102258562746,3,0,9,262,S
0,24.926964944846038,10,6,6,219,A
4,30.46316001611965,1,9,11,32,D
0,33.10871956881323,3,2,4,262,A
1,33.88263307952474,11,5,10,165,B
0,33.63449700824684,5,3,3,315,A
2,24.35561603535137,12,2,2,196,A
0,36.177170780671304,4,0,7,255,S
4,20.07828211470781,2,8,11,34,D
3,35.96968485860851,6,4,4,323,A
0,38.06547244477828,6,8,2,316,B
4,24.365463975629876,1,6,18,7,D
4,34.107127403882366,2,6,25,19,C
2,35.44535113675012,7,6,4,327,A
4,20.703139840970028,3,9,17,3,D
4,39.23087445762219,1,3,27,0,B
4,28.332720748275012,3,3,14,31,C
4,38.875482406896325,1,7,11,11,D
1,35.28503196138791,10,3,6,232,A
1,29.542196353878523,2,1,8,156,B
2,34.95194256198885,5,8,6,274,B
0,31.15758367155771,11,6,8,234,B
4,39.25783268356075,2,8,15,44,D
0,39.98414597886882,14,0,2,299,S
0,23.281271765306705,4,8,7,226,A
2,39.50174339415362,6,4,8,307,A
4,25.744826959496816,0,3,25,8,B
4,28.596625150260053,3,5,19,0,C
3,26.25426590282916,12,6,3,217,A
0,31.046429947485557,6,3,3,289,A
0,38.82429388241371,3,1,8,367,S
1,26.070078182959044,2,4,4,158,B
3,25.19588832342321,14,6,9,190,A
